Chinese 	Pinyin 	English
零 	líng 	zero
一 	yī 	one
二 	èr 	two
三 	sān 	three
四 	sì 	four
五 	wǔ 	five
六 	liù 	six
七 	qī 	seven
八 	bā 	eight
九 	jiǔ 	nine
十 	shí 	te
零 	líng 	zero
一 	yī 	one
二 	èr 	two
三 	sān 	three
四 	sì 	four
五 	wǔ 	five
六 	liù 	six
七 	qī 	seven
八 	bā 	eight
九 	jiǔ 	nine
十 	shí 	ten
我 	wǒ 	I or me
你 	nǐ 	you (singular)
他 	tā 	he or him
她 	tā 	she or her
我们 	wǒmen 	we or me
这/这儿 	zhè/zhèr 	this/here
那/那儿 	nà/nàr 	that/there
哪/哪儿 	nǎ/nǎr 	which/where
谁 	shéi 	who
什么 	shénme  	what
多少 	duōshao 	how many or how much
几 	jǐ 	how many or how much
怎么 	zěnme 	how
怎么样 	zěnmeyàng  	how about
现在  	xiànzài 	now
今天 	jīntiān 	today
明天 	míngtiān 	tomorrow
昨天 	zuótiān 	yesterday
上午 	shàngwǔ 	morning
中午 	zhōngwǔ 	noon
下午 	xiàwǔ 	afternoon
点 	diǎn 	o’clock
分钟 	fēnzhōng 	minute
年 	nián 	year
月 	yuè 	month
日 	rì 	day
星期  	xīngqī 	week
时候 	shíhou 	a certain point in time
人 	rén 	person or people
名字 	míngzì 	name
妈妈 	māma 	mom
爸爸 	bàba 	dad
儿子 	érzi 	son
女儿 	nǚ’ér  	daughter
朋友 	péngyǒu 	friend
先生 	xiānsheng 	Mr or sir
小姐 	xiǎojiě 	Miss
老师 	lǎoshī 	teacher
学生 	xuésheng  	student
同学 	tóngxué 	schoolmate
医生 	yīshēng 	doctor
东西  	dōngxi 	thing
钱 	qián 	money
水 	shuǐ 	water
茶  	chá 	tea
菜 	cài 	dish
米饭 	mǐfàn  	(cooked) rice
衣服 	yīfu 	clothes
书 	shū 	book
桌子 	zhuōzi  	table or desk
椅子 	yǐzi 	chair
水果 	shuǐguǒ 	fruit
苹果 	píngguǒ 	apple
杯子 	bēizi  	cup or glass
电视 	diànshì 	TV
电脑 	diànnǎo 	computer
电影 	diànyǐng  	movie
飞机 	fēijī  	plane
出租车 	chūzūchē 	taxi
猫 	māo 	cat
狗 	gǒu 	dog
天气 	tiānqì 	weather
字 	zì  	character
汉语 	Hànyǔ  	Chinese (language)
中国 	Zhōngguó 	China
北京 	Běijīng 	Beijing
家 	jiā 	home or family
学校 	xuéxiào 	school
饭馆 	fànguǎn 	restaurant
商店 	shāngdiàn 	shop
医院 	yīyuàn 	hospital
火车站 	huǒchēzhàn 	train station
上 	shàng 	on, above or last
下 	xià 	under, below or next
前面 	qiánmiàn 	front
后面 	hòumiàn 	back
里 	lǐ  	inside
个 	gè 	generic measure word
块 	kuài 	basic monetary unit of China
本 	běn 	for books
岁 	suì  	year (of age)
些 	xiē 	some
做 	zuò 	to do
是 	shì 	to be
在 	zài 	to be in
有 	yǒu 	to have
住 	zhù 	to live or to stay
来 	lái 	to come
去 	qù 	to go
回 	huí 	to return
想 	xiǎng 	to think
吃 	chī 	to eat
喝 	hē 	to drink
说话 	shuōhuà  	to speak
看 	kàn 	to look or to watch
看见 	kànjiàn 	to see
听 	tīng 	to listen
叫 	jiào 	to call
买 	mǎi 	to buy
开 	kāi 	to drive or to open
坐 	zuò 	to sit
读 	dú 	to read
写 	xiě  	to write
打电话 	dǎ diànhuà 	to make a phone call
认识 	rènshi  	to know
学习 	xuéxí  	to learn
工作 	gōngzuò  	to work
睡觉 	shuìjiào 	to sleep
喜欢 	xǐhuan 	to like
爱 	ài 	to love
会 	huì 	can (to know how to)
能 	néng  	can (to be able to)
下雨 	xià yǔ 	to rain
好   	hǎo 	good
大 	dà 	big
小 	xiǎo 	small
多 	duō 	many
少 	shǎo 	few
热 	rè 	hot
冷 	lěng 	cold
漂亮 	piàoliang 	pretty
高兴 	gāoxìng 	happy
很 	hěn 	very
太 	tài 	too…
都 	dōu 	both or all
不 	bù 	not
没 	méi 	not
的 	de 	possession particle
了 	le 	aspect particle
吗 	ma 	question particle
呢 	ne 	question particle
和 	hé 	and
喂 	wèi 	hello (on the phone)
谢谢 	xièxie 	thanks
不客气 	bú kèqi  	you’re welcome
再见 	zàijiàn 	goodbye
请 	qǐng  	please…
对不起 	duìbuqǐ 	sorry
没关系 	méi guānxi 	it’s all right
